[2026-02-10 10:36:35.755] (Total Time Elapsed: 00:00:00.078) - Program Start
[2026-02-10 10:36:36.417] (Total Time Elapsed: 00:00:00.740) - Measuring Chuck Resistance...
[2026-02-10 10:36:36.490] (Total Time Elapsed: 00:00:00.813) - Applying Current - I: 0.0100 A | R: 4.1261 Ω | ΔT: 0.08 °C
[2026-02-10 10:36:49.715] (Total Time Elapsed: 00:00:14.038) - Applying Current - I: 53.6187 A | R: 0.0186 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:49.789] (Total Time Elapsed: 00:00:14.112) - Applying Current - I: 56.2997 A | R: 0.0178 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:49.863] (Total Time Elapsed: 00:00:14.186) - Applying Current - I: 59.1147 A | R: 0.0169 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:49.939] (Total Time Elapsed: 00:00:14.261) - Applying Current - I: 62.0704 A | R: 0.0161 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:50.012] (Total Time Elapsed: 00:00:14.335) - Applying Current - I: 65.1739 A | R: 0.0153 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:50.085] (Total Time Elapsed: 00:00:14.408) - Applying Current - I: 68.4326 A | R: 0.0146 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:50.157] (Total Time Elapsed: 00:00:14.480) - Applying Current - I: 71.8542 A | R: 0.0139 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:50.230] (Total Time Elapsed: 00:00:14.553) - Applying Current - I: 75.4470 A | R: 0.0133 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:50.304] (Total Time Elapsed: 00:00:14.626) - Applying Current - I: 79.2193 A | R: 0.0126 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:50.377] (Total Time Elapsed: 00:00:14.700) - Applying Current - I: 83.1803 A | R: 0.0120 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:50.449] (Total Time Elapsed: 00:00:14.772) - Applying Current - I: 87.3393 A | R: 0.0114 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:50.522] (Total Time Elapsed: 00:00:14.845) - Applying Current - I: 91.7062 A | R: 0.0109 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:50.595] (Total Time Elapsed: 00:00:14.918) - Applying Current - I: 96.2916 A | R: 0.0104 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:50.668] (Total Time Elapsed: 00:00:14.991) - Applying Current - I: 101.1061 A | R: 0.0099 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:50.741] (Total Time Elapsed: 00:00:15.064) - Applying Current - I: 106.1614 A | R: 0.0094 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:50.816] (Total Time Elapsed: 00:00:15.139) - Applying Current - I: 111.4695 A | R: 0.0090 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:50.889] (Total Time Elapsed: 00:00:15.212) - Applying Current - I: 117.0430 A | R: 0.0085 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:50.962] (Total Time Elapsed: 00:00:15.285) - Applying Current - I: 122.8951 A | R: 0.0081 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:51.035] (Total Time Elapsed: 00:00:15.358) - Applying Current - I: 129.0399 A | R: 0.0077 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:51.107] (Total Time Elapsed: 00:00:15.430) - Applying Current - I: 135.4919 A | R: 0.0074 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:51.180] (Total Time Elapsed: 00:00:15.503) - Applying Current - I: 142.2665 A | R: 0.0070 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:51.252] (Total Time Elapsed: 00:00:15.575) - Applying Current - I: 149.3798 A | R: 0.0067 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:51.325] (Total Time Elapsed: 00:00:15.648) - Applying Current - I: 156.8488 A | R: 0.0064 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:51.398] (Total Time Elapsed: 00:00:15.721) - Applying Current - I: 164.6912 A | R: 0.0061 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:51.471] (Total Time Elapsed: 00:00:15.793) - Applying Current - I: 172.9258 A | R: 0.0058 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:51.543] (Total Time Elapsed: 00:00:15.866) - Applying Current - I: 181.5721 A | R: 0.0055 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:51.615] (Total Time Elapsed: 00:00:15.938) - Applying Current - I: 190.6507 A | R: 0.0052 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:51.718] (Total Time Elapsed: 00:00:16.041) - Applying Current - I: 200.1832 A | R: 0.0050 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:51.792] (Total Time Elapsed: 00:00:16.115) - Applying Current - I: 210.1924 A | R: 0.0048 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:51.865] (Total Time Elapsed: 00:00:16.188) - Applying Current - I: 220.7020 A | R: 0.0045 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:51.938] (Total Time Elapsed: 00:00:16.261) - Applying Current - I: 231.7371 A | R: 0.0043 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:52.011] (Total Time Elapsed: 00:00:16.334) - Applying Current - I: 243.3240 A | R: 0.0041 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:52.085] (Total Time Elapsed: 00:00:16.407) - Applying Current - I: 255.4902 A | R: 0.0039 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:52.158] (Total Time Elapsed: 00:00:16.481) - Applying Current - I: 268.2647 A | R: 0.0037 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:52.231] (Total Time Elapsed: 00:00:16.554) - Applying Current - I: 281.6779 A | R: 0.0036 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:52.304] (Total Time Elapsed: 00:00:16.627) - Applying Current - I: 295.7618 A | R: 0.0034 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:52.376] (Total Time Elapsed: 00:00:16.699) - Applying Current - I: 310.5499 A | R: 0.0032 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:52.449] (Total Time Elapsed: 00:00:16.772) - Applying Current - I: 326.0774 A | R: 0.0031 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:52.522] (Total Time Elapsed: 00:00:16.845) - Applying Current - I: 342.3813 A | R: 0.0029 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:52.594] (Total Time Elapsed: 00:00:16.917) - Applying Current - I: 359.5003 A | R: 0.0028 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:52.667] (Total Time Elapsed: 00:00:16.990) - Applying Current - I: 377.4754 A | R: 0.0026 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:52.741] (Total Time Elapsed: 00:00:17.064) - Applying Current - I: 396.3491 A | R: 0.0025 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:52.814] (Total Time Elapsed: 00:00:17.137) - Applying Current - I: 416.1666 A | R: 0.0024 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:52.887] (Total Time Elapsed: 00:00:17.210) - Applying Current - I: 436.9749 A | R: 0.0023 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:52.960] (Total Time Elapsed: 00:00:17.282) - Applying Current - I: 458.8236 A | R: 0.0022 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:53.033] (Total Time Elapsed: 00:00:17.355) - Applying Current - I: 481.7648 A | R: 0.0021 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:53.105] (Total Time Elapsed: 00:00:17.428) - Applying Current - I: 505.8531 A | R: 0.0020 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:53.178] (Total Time Elapsed: 00:00:17.501) - Applying Current - I: 531.1457 A | R: 0.0019 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:53.251] (Total Time Elapsed: 00:00:17.574) - Applying Current - I: 557.7030 A | R: 0.0018 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:53.324] (Total Time Elapsed: 00:00:17.647) - Applying Current - I: 585.5882 A | R: 0.0017 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:53.397] (Total Time Elapsed: 00:00:17.720) - Applying Current - I: 614.8676 A | R: 0.0016 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:53.469] (Total Time Elapsed: 00:00:17.792) - Applying Current - I: 645.6110 A | R: 0.0015 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:53.543] (Total Time Elapsed: 00:00:17.866) - Applying Current - I: 677.8915 A | R: 0.0015 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:53.615] (Total Time Elapsed: 00:00:17.938) - Applying Current - I: 711.7861 A | R: 0.0014 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:53.688] (Total Time Elapsed: 00:00:18.010) - Applying Current - I: 747.3754 A | R: 0.0013 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:53.761] (Total Time Elapsed: 00:00:18.084) - Applying Current - I: 784.7441 A | R: 0.0013 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:53.834] (Total Time Elapsed: 00:00:18.157) - Applying Current - I: 823.9814 A | R: 0.0012 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:53.906] (Total Time Elapsed: 00:00:18.229) - Applying Current - I: 865.1804 A | R: 0.0012 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:53.979] (Total Time Elapsed: 00:00:18.302) - Applying Current - I: 908.4394 A | R: 0.0011 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:54.051] (Total Time Elapsed: 00:00:18.374) - Applying Current - I: 953.8614 A | R: 0.0010 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:54.124] (Total Time Elapsed: 00:00:18.447) - Applying Current - I: 1001.5545 A | R: 0.0010 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:54.197] (Total Time Elapsed: 00:00:18.519) - Applying Current - I: 1051.6322 A | R: 0.0010 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:54.270] (Total Time Elapsed: 00:00:18.593) - Applying Current - I: 1104.2138 A | R: 0.0009 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:54.343] (Total Time Elapsed: 00:00:18.666) - Applying Current - I: 1159.4245 A | R: 0.0009 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:54.415] (Total Time Elapsed: 00:00:18.738) - Applying Current - I: 1217.3957 A | R: 0.0008 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:54.488] (Total Time Elapsed: 00:00:18.811) - Applying Current - I: 1278.2655 A | R: 0.0008 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:54.560] (Total Time Elapsed: 00:00:18.883) - Applying Current - I: 1342.1788 A | R: 0.0007 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:54.632] (Total Time Elapsed: 00:00:18.955) - Applying Current - I: 1409.2877 A | R: 0.0007 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:54.705] (Total Time Elapsed: 00:00:19.028) - Applying Current - I: 1479.7521 A | R: 0.0007 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:54.777] (Total Time Elapsed: 00:00:19.100) - Applying Current - I: 1553.7397 A | R: 0.0006 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:54.849] (Total Time Elapsed: 00:00:19.172) - Applying Current - I: 1631.4267 A | R: 0.0006 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:54.923] (Total Time Elapsed: 00:00:19.245) - Applying Current - I: 1712.9981 A | R: 0.0006 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:54.996] (Total Time Elapsed: 00:00:19.318) - Applying Current - I: 1798.6480 A | R: 0.0006 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:55.068] (Total Time Elapsed: 00:00:19.391) - Applying Current - I: 1888.5804 A | R: 0.0005 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:55.141] (Total Time Elapsed: 00:00:19.464) - Applying Current - I: 1983.0094 A | R: 0.0005 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:55.213] (Total Time Elapsed: 00:00:19.536) - Applying Current - I: 2082.1598 A | R: 0.0005 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:55.286] (Total Time Elapsed: 00:00:19.609) - Applying Current - I: 2186.2678 A | R: 0.0005 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:55.359] (Total Time Elapsed: 00:00:19.682) - Applying Current - I: 2295.5812 A | R: 0.0004 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:55.432] (Total Time Elapsed: 00:00:19.755) - Applying Current - I: 2410.3603 A | R: 0.0004 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:55.504] (Total Time Elapsed: 00:00:19.827) - Applying Current - I: 2530.8783 A | R: 0.0004 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:55.578] (Total Time Elapsed: 00:00:19.901) - Applying Current - I: 2657.4222 A | R: 0.0004 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:55.651] (Total Time Elapsed: 00:00:19.974) - Applying Current - I: 2790.2933 A | R: 0.0004 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:55.724] (Total Time Elapsed: 00:00:20.047) - Applying Current - I: 2929.8080 A | R: 0.0003 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:55.799] (Total Time Elapsed: 00:00:20.121) - Applying Current - I: 3076.2984 A | R: 0.0003 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:55.871] (Total Time Elapsed: 00:00:20.194) - Applying Current - I: 3230.1133 A | R: 0.0003 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:55.944] (Total Time Elapsed: 00:00:20.267) - Applying Current - I: 3391.6190 A | R: 0.0003 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:56.018] (Total Time Elapsed: 00:00:20.340) - Applying Current - I: 3561.1999 A | R: 0.0003 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:56.090] (Total Time Elapsed: 00:00:20.413) - Applying Current - I: 3739.2599 A | R: 0.0003 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:56.163] (Total Time Elapsed: 00:00:20.486) - Applying Current - I: 3926.2229 A | R: 0.0003 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:56.236] (Total Time Elapsed: 00:00:20.559) - Applying Current - I: 4122.5341 A | R: 0.0002 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:56.310] (Total Time Elapsed: 00:00:20.632) - Applying Current - I: 4328.6608 A | R: 0.0002 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:56.383] (Total Time Elapsed: 00:00:20.706) - Applying Current - I: 4545.0938 A | R: 0.0002 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:56.456] (Total Time Elapsed: 00:00:20.778) - Applying Current - I: 4772.3485 A | R: 0.0002 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:56.528] (Total Time Elapsed: 00:00:20.851) - Applying Current - I: 5010.9659 A | R: 0.0002 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:56.601] (Total Time Elapsed: 00:00:20.923) - Applying Current - I: 5261.5142 A | R: 0.0002 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:56.673] (Total Time Elapsed: 00:00:20.996) - Applying Current - I: 5524.5899 A | R: 0.0002 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:56.746] (Total Time Elapsed: 00:00:21.069) - Applying Current - I: 5800.8194 A | R: 0.0002 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:56.820] (Total Time Elapsed: 00:00:21.143) - Applying Current - I: 6090.8604 A | R: 0.0002 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:56.894] (Total Time Elapsed: 00:00:21.217) - Applying Current - I: 6395.4034 A | R: 0.0002 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:56.968] (Total Time Elapsed: 00:00:21.291) - Applying Current - I: 6715.1736 A | R: 0.0001 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:57.041] (Total Time Elapsed: 00:00:21.364) - Applying Current - I: 7050.9323 A | R: 0.0001 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:57.114] (Total Time Elapsed: 00:00:21.437) - Applying Current - I: 7403.4789 A | R: 0.0001 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:57.188] (Total Time Elapsed: 00:00:21.511) - Applying Current - I: 7773.6528 A | R: 0.0001 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:57.261] (Total Time Elapsed: 00:00:21.584) - Applying Current - I: 8162.3355 A | R: 0.0001 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:57.334] (Total Time Elapsed: 00:00:21.657) - Applying Current - I: 8570.4522 A | R: 0.0001 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:57.407] (Total Time Elapsed: 00:00:21.730) - Applying Current - I: 8998.9749 A | R: 0.0001 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:57.480] (Total Time Elapsed: 00:00:21.803) - Applying Current - I: 9448.9236 A | R: 0.0001 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:57.552] (Total Time Elapsed: 00:00:21.875) - Applying Current - I: 9921.3698 A | R: 0.0001 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:57.625] (Total Time Elapsed: 00:00:21.948) - Applying Current - I: 10417.4383 A | R: 0.0001 Ω | ΔT: 0.00 °C
